,gsId,name,type,gradeRange,enrollment,city,state,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,parentRating,districtId,district,districtNCESId,gsRating
19,10900,Austin Discovery School,charter,K-8,491,Austin,TX,"9303 Farm to Market 969, 
Austin, TX  78724",(512) 674-0700,(512) 674-3133,www.austindiscoveryschool.org,480026511056,30.267902,-97.63531,https://www.greatschools.org/texas/austin/10900-Austin-Discovery-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=10900&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=10900&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/10900,4,1323,Austin Discovery School,4800265,4
20,522,Austin High School,public,9-12,2085,Austin,TX,"1715 West Cesar Chavez Street, 
Austin, TX  78703",(512) 414-2505,(512) 474-7935,,480894000294,30.273598,-97.76814,https://www.greatschools.org/texas/austin/522-Austin-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=522&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=522&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/522,4,115,Austin Independent School District,4808940,7
21,10049,Austin International School,private,PK-5,199,Austin,TX,"4001 Adelphi Lane, 
Austin, TX  78727",(512) 331-7806,(512) 219-5201,http://www.austininternationalschool.org,A0771724,30.42242,-97.71807,https://www.greatschools.org/texas/austin/10049-Austin-International-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=10049&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=10049&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/10049,4,,,,
22,8096,Austin Jewish Academy,private,K-8,130,Austin,TX,"7300 Hart Lane, 
Austin, TX  78731",(512) 735-8350,(512) 735-8351,https://www.austinjewishacademy.org/,A9707912,30.357513,-97.75502,https://www.greatschools.org/texas/austin/8096-Austin-Jewish-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=8096&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=8096&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/8096,4,,,,
23,19664,Austin Montessori Great Northern Campus,private,PK-3,,Austin,TX,"5006 Sunset Trail, 
Austin, TX  78745",(512) 450-1940,,,A0792064,30.227676,-97.80505,https://www.greatschools.org/texas/austin/19664-Austin-Montessori-Great-Northern-Campus/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=19664&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=19664&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/19664,5,,,,
24,7587,Austin Montessori School,private,PK-9,350,Austin,TX,"5006 Sunset Trail, 
Austin, TX  78745",(512) 892-0253,,http://austinmontessori.org/,01329215,30.227676,-97.80505,https://www.greatschools.org/texas/austin/7587-Austin-Montessori-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=7587&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=7587&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/7587,4,,,,
25,24857,Austin Oaks,charter,K-12,,Austin,TX,"1407 West Stassney Lane, 
Austin, TX  78745",(512) 633-0795,(512) 462-6665,www.utcharter.org,,30.21135,-97.792694,https://www.greatschools.org/texas/austin/24857-Austin-Oaks/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=24857&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=24857&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/24857,,70,University Of Texas University Charter School,4800071,
26,8422,Austin Peace Academy,private,PK-12,575,Austin,TX,"5110 Manor Road, 
Austin, TX  78723",(512) 926-1737,(512) 926-9688,https://www.apacademy.org/,A9904272,30.299353,-97.686516,https://www.greatschools.org/texas/austin/8422-Austin-Peace-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=8422&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=8422&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/8422,4,,,,
27,7598,Austin SDA Junior Academy,private,K-10,,Austin,TX,"301 W Anderson Ln, 
Austin, TX  78752",(512) 459-8976,,,01329678,30.344398,-97.70773,https://www.greatschools.org/texas/austin/7598-Austin-SDA-Junior-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=7598&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=7598&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/7598,1,,,,
28,10849,Austin St Hospital,public,PK-12,20,Austin,TX,"1111 West 6th Street, 
Austin, TX  78703",(512) 499-1700,(512) 419-2560,,480894005646,30.272375,-97.756516,https://www.greatschools.org/texas/austin/10849-Austin-St-Hospital/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=10849&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=10849&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/10849,,115,Austin Independent School District,4808940,
29,24785,Austin Village Academy,private,K-9,32,Austin,TX,"4105 Manchaca Rd., 
Austin, TX  78704",(512) 447-8516,,www.austinvillageacademy.org,,30.231419,-97.787,https://www.greatschools.org/texas/austin/24785-Austin-Village-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=24785&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=24785&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/24785,,,,,
30,7925,Austin Waldorf School,private,K-12,388,Austin,TX,"8700 South View Road, 
Austin, TX  78737",(512) 288-5942,(512) 301-8997,,A9503923,30.231415,-97.912796,https://www.greatschools.org/texas/austin/7925-Austin-Waldorf-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=7925&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=7925&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/7925,4,,,,
31,601,Bailey Middle School,public,6-8,873,Austin,TX,"4020 Lost Oasis Hollow, 
Austin, TX  78739",(512) 414-4990,(512) 292-0898,www.baileybears.org,480894005486,30.164225,-97.87242,https://www.greatschools.org/texas/austin/601-Bailey-Middle-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=601&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=601&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/601,3,115,Austin Independent School District,4808940,6
32,8068,Bais Menachem Hebrew Academy,private,PK-6,,Austin,TX,"2127 West Parmer Lane, 
Austin, TX  78727",(512) 977-0770,,,A9703358,30.41608,-97.69663,https://www.greatschools.org/texas/austin/8068-Bais-Menachem-Hebrew-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=8068&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=8068&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/8068,5,,,,
33,10790,Baldwin Elementary School,public,PK-5,742,Austin,TX,"12200 Meridian Park Boulevard, 
Austin, TX  78739",(512) 841-8900,(512) 841-8901,http://www.baldwinpta.org/,480894011064,30.18489,-97.923454,https://www.greatschools.org/texas/austin/10790-Baldwin-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=10790&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=10790&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/10790,4,115,Austin Independent School District,4808940,8
34,7781,Bannockburn Christian Academy,private,PK-5,100,Austin,TX,"7100 Brodie Ln, 
Austin, TX  78745",(512) 892-2706,(512) 899-1161,www.bcaaustin.org,A9106430,30.212337,-97.8324,https://www.greatschools.org/texas/austin/7781-Bannockburn-Christian-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=7781&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=7781&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/7781,4,,,,
35,8618,Baranoff Elementary School,public,PK-5,994,Austin,TX,"12009 Buckingham Gate Road, 
Austin, TX  78748",(512) 841-7100,(512) 841-7104,http://www.baranoffschool.org/,480894008393,30.153902,-97.852165,https://www.greatschools.org/texas/austin/8618-Baranoff-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=8618&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=8618&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/8618,4,115,Austin Independent School District,4808940,9
36,523,Barrington Elementary School,public,PK-6,588,Austin,TX,"400 Cooper Drive, 
Austin, TX  78753",(512) 414-2008,(512) 836-4077,http://molliebarringtonschool.weebly.com/,480894000296,30.360529,-97.69607,https://www.greatschools.org/texas/austin/523-Barrington-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=523&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=523&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/523,3,115,Austin Independent School District,4808940,4
37,2209,Barton Creek Elementary School,public,K-5,511,Austin,TX,"1370 Patterson Road, 
Austin, TX  78733",(512) 732-9180,(512) 732-9189,,481776021527,30.303408,-97.87958,https://www.greatschools.org/texas/austin/2209-Barton-Creek-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=2209&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=2209&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/2209,4,342,Eanes Independent School District,4817760,10
38,524,Barton Hills Elementary School,public,PK-6,419,Austin,TX,"2108 Barton Hills Drive, 
Austin, TX  78704",(512) 414-2013,(512) 841-3849,http://bheeagles.com/,480894000297,30.254395,-97.783356,https://www.greatschools.org/texas/austin/524-Barton-Hills-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=524&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=524&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/524,4,115,Austin Independent School District,4808940,9
39,2035,Baty Elementary School,public,PK-5,802,Austin,TX,"2101 Faro Drive, 
Austin, TX  78741",(512) 386-3450,(512) 386-3455,www.dvisd.net,481662006091,30.227068,-97.712814,https://www.greatschools.org/texas/austin/2035-Baty-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=2035&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=2035&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/2035,3,315,Del Valle Independent School District,4816620,3
40,525,Becker Elementary School,public,PK-5,344,Austin,TX,"906 West Milton Street, 
Austin, TX  78704",(512) 414-2019,(512) 442-1759,http://www.beckerelementary.com/,480894000298,30.250395,-97.75945,https://www.greatschools.org/texas/austin/525-Becker-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=525&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=525&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/525,4,115,Austin Independent School District,4808940,7
41,526,Bedichek Middle School,public,6-8,969,Austin,TX,"6800 Bill Hughes Road, 
Austin, TX  78745",(512) 414-3265,(512) 444-4382,http://www.bedichekbobcats.org/,480894000299,30.196163,-97.78622,https://www.greatschools.org/texas/austin/526-Bedichek-Middle-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=526&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=526&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/526,4,115,Austin Independent School District,4808940,2
42,8717,Bee Cave Elementary School,public,PK-5,623,Austin,TX,"3322 Ranch Road 620 South, 
Austin, TX  78738",(512) 533-6250,(512) 533-6251,,482647008395,30.328274,-97.97106,https://www.greatschools.org/texas/austin/8717-Bee-Cave-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=8717&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=8717&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/8717,4,583,Lake Travis Independent School District,4826470,8
43,527,Blackshear Elementary School,public,PK-5,302,Austin,TX,"1712 East 11th Street, 
Austin, TX  78702",(512) 414-2021,(512) 477-7640,http://www.blackshearyellowjackets.org/,480894000300,30.266968,-97.72217,https://www.greatschools.org/texas/austin/527-Blackshear-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=527&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=527&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/527,5,115,Austin Independent School District,4808940,8
44,528,Blanton Elementary School,public,PK-6,542,Austin,TX,"5408 Westminster Drive, 
Austin, TX  78723",(512) 414-2026,(512) 926-8553,,480894000301,30.30693,-97.69063,https://www.greatschools.org/texas/austin/528-Blanton-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=528&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=528&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/528,4,115,Austin Independent School District,4808940,5
45,10788,Blazier Elementary School,public,PK-5,967,Austin,TX,"8601 Nuckols Crossing Road, 
Austin, TX  78744",(512) 841-8800,(512) 841-8801,,480894011062,30.158,-97.754295,https://www.greatschools.org/texas/austin/10788-Blazier-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=10788&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=10788&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/10788,3,115,Austin Independent School District,4808940,7
46,16170,Bluebonnet Montessori School of Lakeway,private,PK-3,58,Austin,TX,"15099 Debba Drive, 
Austin, TX  78734",(512) 266-6626,,http://www.bluebonnetmontessori.com,A0771730,30.373077,-97.93844,https://www.greatschools.org/texas/austin/16170-Bluebonnet-Montessori-School-Of-Lakeway/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=16170&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=16170&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/16170,5,,,,
47,4570,Bluebonnet Trail Elementary School,public,PK-5,496,Austin,TX,"11316 Farmhaven Road, 
Austin, TX  78754",(512) 278-4125,(512) 278-4140,bte.manorisd.net,482889005491,30.35188,-97.6174,https://www.greatschools.org/texas/austin/4570-Bluebonnet-Trail-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=4570&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=4570&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/4570,3,646,Manor Independent School District,4828890,6
48,608,Boone Elementary School,public,PK-5,499,Austin,TX,"8101 Croftwood Drive, 
Austin, TX  78749",(512) 414-2537,(512) 280-3307,http://boone.austinschools.org/,480894006210,30.203724,-97.840225,https://www.greatschools.org/texas/austin/608-Boone-Elementary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=608&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=608&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/608,4,115,Austin Independent School District,4808940,8
49,613,Bowie High School,public,9-12,2871,Austin,TX,"4103 West Slaughter Lane, 
Austin, TX  78749",(512) 414-5247,(512) 292-0527,,480894006508,30.186369,-97.85873,https://www.greatschools.org/texas/austin/613-Bowie-High-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=613&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=613&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/TX/613,4,115,Austin Independent School District,4808940,9
50,12308,Boys Menachem Hebrew Academy,private,PK-8,,Austin,TX,"7010 Village Center Dr, 
Austin, TX  78731",(512) 343-2500,,,A0503443,30.35242,-97.7568,https://www.greatschools.org/texas/austin/12308-Boys-Menachem-Hebrew-Academy/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=12308&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=12308&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/12308,,,,,
51,8479,Brentwood Christian School,private,PK-12,756,Austin,TX,"11908 N Lamar Blvd, 
Austin, TX  78753",(512) 835-5983,(512) 835-2184,http://www.brentwoodchristian.org/,X1328754,30.39087,-97.68241,https://www.greatschools.org/texas/austin/8479-Brentwood-Christian-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=8479&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=8479&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/8479,5,,,,
52,12499,Brentwood Christian Secondary School,private,10-12,,Austin,TX,"11908 N Lamar Blvd, 
Austin, TX  78753",(512) 835-5983,(512) 835-2184,,,30.39087,-97.68241,https://www.greatschools.org/texas/austin/12499-Brentwood-Christian-Secondary-School/?s_cid=gsapi,https://www.greatschools.org/school/rating.page?state=TX&id=12499&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=TX&id=12499&s_cid=gsapi,https://www.greatschools.org/cgi-bin/TX/otherprivate/12499,5,,,,
